	HOLMES+WATSON	SIRS
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
MICHOL	HOLMES	SIR
MICHOL	WATSON	SIR
HOLMES	WATSON	WATSON
MARY	HOLMES	MR. HOLMES
MARY	WATSON	DR. WATSON
HOLMES	WATSON	WATSON
MARY	HOLMES	SIR
MARY	HOLMES	MR. HOLMES
GILLIAN	HOLMES	MR. HOLMES
GILLIAN	WATSON	DR. WATSON
GILLIAN	WATSON	SIR
HOLMES	WATSON	WATSON
WATSON	WATSON	WATSON
GILLIAN	HOLMES	SIR
GILLIAN	WATSON	SIR
HOLMES	WATSON	WATSON
MARY	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	DR. WATSON
TOM	WATSON	DR. WATSON
WATSON	TOME	SIR
TOM	WATSON	DR. WATSON
HOLMES	WATSON	WATSON
TOM	HOLMES	MR. HOLMES
HOLMES	WATSON	WATSON
BELL	WATSON	DR. WATSON
WATSON	HOLMES	HOLMES
TOM	HOLMES	MR. HOLMES
TOM	HOLMES	MR. HOLMES
HOLMES	WATSON	WATSON
TOM	HOLMES	MR. HOLMES
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
MICHOL	WATSON	DR. WATSON
MICHOL	HOLMES	MR. HOLMES
HOLMES	WATSON	OLD CHAP
HOLMES	WATSON	WATSON
HOLMES	WATSON	WATSON
GILLIAN	HOLMES	MR. HOLMES
GILLIAN	WATSON	DR. WATSON
GILLIAN	HOLMES	SIR
GILLIAN	GILLIAN	SIR
GILLIAN	HOLMES	MR. HOLMES
GILLIAN	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
BELL	WATSON	DR. WATSON
WATSON	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	WATSON	DR. WATSON
Forman	HOLMES	SHERLOCK HOLMES
Forman	WATSON	WATSON
Watson	HOLMES	HOLMES
Watson	HOLMES	HOLMES
Watson	HOLMES	HOLMES
Watson	HOLMES	HOLMES
Forman	HOLMES	SHERLOCK HOLMES
Watson	HOLMES	HOLMES
Watson	HOLMES	HOLMES
Watson	CHAREL	MONSIEUR CHAREL
Charel	WATSON	DR. WATSON
Watson	HOLMES	HOLMES
Holmes	WATSON	WATSON
